title,text,href,img
"Castelo Branco: AE Afonso de Paiva tem ""Green Chefs"" na Turma ST4A!",O desperdício alimentar é um problema que nos afeta a todos e os jovens podem fazer a diferença no combate a este problema. Diário...,https://www.unidoscontraodesperdicio.pt/post/castelo-branco-ae-afonso-de-paiva-tem-green-chefs-na-turma-st4a,"https://static.wixstatic.com/media/af989d_dbe4c2a2c51d48809a1b35c21d8b7821~mv2.jpeg/v1/fill/w_309,h_232,fp_0.50_0.50,q_90,enc_auto/af989d_dbe4c2a2c51d48809a1b35c21d8b7821~mv2.jpeg"
“Possibilitar um estilo de vida saudável”,O principal objetivo do ALDI é proporcionar e promover um estilo de vida saudável e mais sustentável aos seus clientes. Missão passa...,https://www.unidoscontraodesperdicio.pt/post/possibilitar-um-estilo-de-vida-saudável,"https://static.wixstatic.com/media/af989d_73f95f0450bd484c83b6fd96879c7918~mv2.png/v1/fill/w_310,h_232,fp_0.50_0.50,enc_auto/af989d_73f95f0450bd484c83b6fd96879c7918~mv2.png"
Famalicão: Agrupamento de escolas de Ribeirão vence concurso nacional com lancheira escolar inovador,"Braga TV “Uma abordagem inovadora, inclusiva, democrática e comunitária à promoção de hábitos alimentares saudáveis”. É assim descrito o...",https://www.unidoscontraodesperdicio.pt/post/famalicão-agrupamento-de-escolas-de-ribeirão-vence-concurso-nacional-com-lancheira-escolar-inovador,"https://static.wixstatic.com/media/af989d_b87dde7e34034d7eaa2d82a888358211~mv2.jpeg/v1/fill/w_310,h_232,fp_0.50_0.50,q_90,enc_auto/af989d_b87dde7e34034d7eaa2d82a888358211~mv2.jpeg"
Vegetarianos com muito gosto: Os restaurantes de alta-cozinha que estão a apostar em menus verdes,"Transformam legumes, fungos e raízes da época em pratos com muito sabor e texturas. Nestes seis restaurantes de alta-cozinha, em Lisboa e...",https://www.unidoscontraodesperdicio.pt/post/vegetarianos-com-muito-gosto-os-restaurantes-de-alta-cozinha-que-estão-a-apostar-em-menus-verdes,"https://static.wixstatic.com/media/af989d_71488313a0cf4fe08ec03aac46fac862~mv2.jpeg/v1/fill/w_309,h_232,fp_0.50_0.50,q_90,enc_auto/af989d_71488313a0cf4fe08ec03aac46fac862~mv2.jpeg"
Arroz doado pela Nespresso ao Banco Alimentar tem nova embalagem 100% reciclável,"Grande Consumo O arroz doado pela Nespresso ao Banco Alimentar, no âmbito do projeto Reciclar é Alimentar, chega agora às famílias...",https://www.unidoscontraodesperdicio.pt/post/arroz-doado-pela-nespresso-ao-banco-alimentar-tem-nova-embalagem-100-reciclável,"https://static.wixstatic.com/media/af989d_e372217f1eae4826abbbfb0238013f5f~mv2.jpeg/v1/fill/w_310,h_232,fp_0.50_0.50,q_90,enc_auto/af989d_e372217f1eae4826abbbfb0238013f5f~mv2.jpeg"
Phenix distinguida no ranking global The FoodTech 500,"Grande Consumo A Phenix foi distinguida pela Forward Fooding no ranking The FoodTech 500, que reconhece as 500 melhores empresas...",https://www.unidoscontraodesperdicio.pt/post/phenix-distinguida-no-ranking-global-the-foodtech-500,"https://static.wixstatic.com/media/af989d_052e78698d8a483a8a18aca638d958d1~mv2.jpeg/v1/fill/w_310,h_232,fp_0.50_0.50,q_90,enc_auto/af989d_052e78698d8a483a8a18aca638d958d1~mv2.jpeg"
Vendas da Birdbox da Auchan permitiram oferecer cerca de 20 mil refeições,"Grande Consumo As vendas da Birdbox, a embalagem lançada pela Auchan Retail Portugal, durante a sua campanha de Natal, com o objetivo de...",https://www.unidoscontraodesperdicio.pt/post/vendas-da-birdbox-da-auchan-permitiram-oferecer-cerca-de-20-mil-refeições,"https://static.wixstatic.com/media/af989d_58a9ddefb140408bad6a41e3df846f1f~mv2.jpeg/v1/fill/w_309,h_232,fp_0.50_0.50,q_90,enc_auto/af989d_58a9ddefb140408bad6a41e3df846f1f~mv2.jpeg"
"""A tecnologia torna uma missão nobre (Too Good To Go) mais atrativa"". Mette Lykke",No #55 episódio do podcast Made in Tech falamos com a empreendedora dinamarquesa Mette Lykke sobre como a tecnologia permite que uma...,https://www.unidoscontraodesperdicio.pt/post/a-tecnologia-torna-uma-missão-nobre-too-good-to-go-mais-atrativa-mette-lykke,"https://static.wixstatic.com/media/af989d_607e5484e54b4aa19e23b0e91893d356~mv2.jpeg/v1/fill/w_310,h_232,fp_0.50_0.50,q_90,enc_auto/af989d_607e5484e54b4aa19e23b0e91893d356~mv2.jpeg"
Compostagem na Compal,"Feitos os néctares de Compal, os caroços de pêssego passam por um processo de compostagem e ganham uma nova vida. Observador Os alimentos...",https://www.unidoscontraodesperdicio.pt/post/compostagem-na-compal,"https://static.wixstatic.com/media/af989d_515e428545a540f4b7c3b462d4e8a5f8~mv2.png/v1/fill/w_310,h_232,fp_0.50_0.50,enc_auto/af989d_515e428545a540f4b7c3b462d4e8a5f8~mv2.png"
"""Food Dates"": 3 receitas juntam alimentos improváveis para surpreender no dia mais romântico do ano","""Food Dates"" é a campanha do Dia dos Namorados que promove o amor pela comida e a consciencialização sobre o desperdício de alimentos....",https://www.unidoscontraodesperdicio.pt/post/food-dates-3-receitas-juntam-alimentos-improváveis-para-surpreender-no-dia-mais-romântico-do-ano,"https://static.wixstatic.com/media/af989d_ea7e97cc55044f88903ddd8190b0554e~mv2.png/v1/fill/w_309,h_232,fp_0.50_0.50,enc_auto/af989d_ea7e97cc55044f88903ddd8190b0554e~mv2.png"
Cantina do IPB vai ser monitorizada para desenvolver ferramentas que ajudem a evitar o desperdício ,No #55 episódio do podcast Made in Tech falamos com a empreendedora dinamarquesa Mette Lykke sobre como a tecnologia permite que uma...,https://www.unidoscontraodesperdicio.pt/post/cantina-do-ipb-vai-ser-monitorizada-para-desenvolver-ferramentas-que-ajudem-a-evitar-o-desperdício,"https://static.wixstatic.com/media/a8699e_a5a2b2dfc83d43288ddca648d0668343~mv2.jpg/v1/fill/w_310,h_232,fp_0.50_0.50,q_90,enc_auto/a8699e_a5a2b2dfc83d43288ddca648d0668343~mv2.jpg"
